------------------||App started||10.09.2020 23:03:14||-----------------||--------------New Terrain generation; Terrain size (X/Y/Z); 32/64/32; voxel scale; 1; chunk size; 8; voxel count; 65536;
|| Chunk[0,0,0]; terrain generation [ms]; 3; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[2,0,1]; terrain generation [ms]; 3; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[1,0,3]; terrain generation [ms]; 3; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[2,0,0]; terrain generation [ms]; 3; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[0,0,3]; terrain generation [ms]; 3; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[0,0,2]; terrain generation [ms]; 3; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[2,0,2]; terrain generation [ms]; 3; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[1,0,0]; terrain generation [ms]; 3; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[1,0,1]; terrain generation [ms]; 3; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[0,0,1]; terrain generation [ms]; 3; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[1,0,2]; terrain generation [ms]; 3; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[2,0,1]; Marching Cubes [ms]; 9; voxel count; 5184;Chunk size; 8; vertices count; 278; triangles count; 448;
|| Chunk[1,0,1]; Marching Cubes [ms]; 9; voxel count; 5184;Chunk size; 8; vertices count; 294; triangles count; 476;
|| Chunk[2,0,2]; Marching Cubes [ms]; 10; voxel count; 5184;Chunk size; 8; vertices count; 297; triangles count; 482;
|| Chunk[1,0,2]; Marching Cubes [ms]; 10; voxel count; 5184;Chunk size; 8; vertices count; 294; triangles count; 474;
|| Chunk[1,0,3]; Marching Cubes [ms]; 31; voxel count; 5184;Chunk size; 8; vertices count; 427; triangles count; 732;
|| Chunk[1,0,0]; Marching Cubes [ms]; 33; voxel count; 5184;Chunk size; 8; vertices count; 436; triangles count; 746;
|| Chunk[0,0,2]; Marching Cubes [ms]; 35; voxel count; 5184;Chunk size; 8; vertices count; 455; triangles count; 784;
