------------------||App started||11.09.2020 00:09:23||-----------------||--------------New Terrain generation; Terrain size (X/Y/Z); 32/64/32; voxel scale; 1; chunk size; 8; voxel count; 65536;
|| Chunk[3,0,0]; terrain generation [ms]; 4; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[0,0,3]; terrain generation [ms]; 3498; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[0,0,1]; terrain generation [ms]; 4; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[1,0,2]; terrain generation [ms]; 4; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[0,0,2]; terrain generation [ms]; 3498; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[1,0,1]; terrain generation [ms]; 3498; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[1,0,3]; terrain generation [ms]; 3498; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[0,0,0]; terrain generation [ms]; 3498; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[2,0,2]; terrain generation [ms]; 3499; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[1,0,0]; terrain generation [ms]; 3498; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[3,0,2]; terrain generation [ms]; 3498; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[2,0,0]; terrain generation [ms]; 3498; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[2,0,3]; terrain generation [ms]; 3500; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[2,0,1]; terrain generation [ms]; 3499; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[3,0,1]; terrain generation [ms]; 3498; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[3,0,3]; terrain generation [ms]; 3497; voxel count; 5184; Chunk size; 8; voxel scale; 1;
|| Chunk[2,0,1]; Marching Cubes [ms]; 4706; voxel count; 5184;Chunk size; 8; vertices count; 278; triangles count; 448;
|| Chunk[1,0,2]; Marching Cubes [ms]; 4790; voxel count; 5184;Chunk size; 8; vertices count; 294; triangles count; 474;
|| Chunk[1,0,1]; Marching Cubes [ms]; 4839; voxel count; 5184;Chunk size; 8; vertices count; 294; triangles count; 476;
|| Chunk[2,0,2]; Marching Cubes [ms]; 4844; voxel count; 5184;Chunk size; 8; vertices count; 297; triangles count; 482;
|| Chunk[2,0,0]; Marching Cubes [ms]; 12796; voxel count; 5184;Chunk size; 8; vertices count; 409; triangles count; 698;
